slug,name,active,places,places_no_image,places_no_cost
ha-noi,Hà Nội,t,132,131,131
tp-ho-chi-minh,TP. Hồ Chí Minh,t,101,101,101
ha-long,Hạ Long,t,86,86,86
da-nang,Đà Nẵng,t,85,85,85
hai-phong,Hải Phòng,t,75,75,75
vung-tau,Vũng Tàu,t,70,70,70
ninh-binh,Ninh Bình,t,69,69,69
buon-ma-thuot,Buôn Ma Thuột,t,68,68,68
hue,Huế,t,67,67,67
quy-nhon,Quy Nhơn,t,67,67,67
can-tho,Cần Thơ,t,65,65,65
nha-trang,Nha Trang,t,64,64,64
phu-quoc,Phú Quốc,t,64,64,64
pleiku,Pleiku,t,64,64,64
da-lat,Đà Lạt,t,63,63,63
phan-thiet,Phan Thiết,t,60,60,60
ha-giang,Hà Giang,t,57,57,57
hoi-an,Hội An,t,56,56,56
tuy-hoa,Tuy Hòa,t,55,55,55
moc-chau,Mộc Châu,t,52,52,52
phong-nha,Phong Nha,t,43,43,43
sapa,Sapa,t,43,43,43
dong-hoi,Đồng Hới,t,40,40,40
mui-ne,Mũi Né,t,10,10,10
tay-ninh,Tây Ninh,t,3,3,3
chau-doc,Châu Đốc,t,0,0,0
con-dao,Côn Đảo,t,0,0,0
