kind,destination_slug,destination_name,source_file,target_file,db_table,db_id,db_name,db_image_path,match_status,notes
home_hero,,,AnhBia.jpg,Backend/static/img/home/hero.jpg,,,,,exact,hero
destination_cover,buon-ma-thuot,,BuonMaThuat/AnhDaiDien.jpg,Backend/static/img/destinations/buon-ma-thuot.jpg,destinations,,buon-ma-thuot,/img/destinations/buon-ma-thuot.jpg,exact,AnhDaiDien cover
destination_cover,can-tho,,CanTho/AnhDaiDien.jpg,Backend/static/img/destinations/can-tho.jpg,destinations,,can-tho,/img/destinations/can-tho.jpg,exact,AnhDaiDien cover
destination_cover,da-nang,,DANANG/AnhDaiDien.webp,Backend/static/img/destinations/da-nang.webp,destinations,,da-nang,/img/destinations/da-nang.webp,exact,AnhDaiDien cover
destination_cover,da-lat,,Dalat/AnhDaiDien.webp,Backend/static/img/destinations/da-lat.webp,destinations,,da-lat,/img/destinations/da-lat.webp,exact,AnhDaiDien cover
destination_cover,dong-hoi,,DongHoi/AnhDaiDien.jpg,Backend/static/img/destinations/dong-hoi.jpg,destinations,,dong-hoi,/img/destinations/dong-hoi.jpg,exact,AnhDaiDien cover
destination_cover,ha-giang,,Hagiang/AnhDaiDien.jpg,Backend/static/img/destinations/ha-giang.jpg,destinations,,ha-giang,/img/destinations/ha-giang.jpg,exact,AnhDaiDien cover
destination_cover,ha-long,,HaLong/AnhDaiDien.jpg,Backend/static/img/destinations/ha-long.jpg,destinations,,ha-long,/img/destinations/ha-long.jpg,exact,AnhDaiDien cover
destination_cover,ha-noi,,Hanoi/AnhDaiDien.jpg,Backend/static/img/destinations/ha-noi.jpg,destinations,,ha-noi,/img/destinations/ha-noi.jpg,exact,AnhDaiDien cover
destination_cover,hai-phong,,Haiphong/AnhDaiDien.jpg,Backend/static/img/destinations/hai-phong.jpg,destinations,,hai-phong,/img/destinations/hai-phong.jpg,exact,AnhDaiDien cover
destination_cover,hoi-an,,HoiAn/AnhDaiDien.jpg,Backend/static/img/destinations/hoi-an.jpg,destinations,,hoi-an,/img/destinations/hoi-an.jpg,exact,AnhDaiDien cover
destination_cover,hue,,Hue/AnhDaiDien.webp,Backend/static/img/destinations/hue.webp,destinations,,hue,/img/destinations/hue.webp,exact,AnhDaiDien cover
destination_cover,moc-chau,,MocChau/AnhDaiDien.jpg,Backend/static/img/destinations/moc-chau.jpg,destinations,,moc-chau,/img/destinations/moc-chau.jpg,exact,AnhDaiDien cover
destination_cover,nha-trang,,NhaTrang/AnhDaiDien.webp,Backend/static/img/destinations/nha-trang.webp,destinations,,nha-trang,/img/destinations/nha-trang.webp,exact,AnhDaiDien cover
destination_cover,ninh-binh,,NinhBinh/AnhDaiDien.webp,Backend/static/img/destinations/ninh-binh.webp,destinations,,ninh-binh,/img/destinations/ninh-binh.webp,exact,AnhDaiDien cover
destination_cover,phan-thiet,,PhanThiet/AnhDaiDien.webp,Backend/static/img/destinations/phan-thiet.webp,destinations,,phan-thiet,/img/destinations/phan-thiet.webp,exact,AnhDaiDien cover
destination_cover,phu-quoc,,PhuQuoc/AnhDaiDien.jpg,Backend/static/img/destinations/phu-quoc.jpg,destinations,,phu-quoc,/img/destinations/phu-quoc.jpg,exact,AnhDaiDien cover
destination_cover,pleiku,,Pleiku/AnhDaiDien.jpg,Backend/static/img/destinations/pleiku.jpg,destinations,,pleiku,/img/destinations/pleiku.jpg,exact,AnhDaiDien cover
destination_cover,quy-nhon,,QuyNhon/AnhDaiDien.webp,Backend/static/img/destinations/quy-nhon.webp,destinations,,quy-nhon,/img/destinations/quy-nhon.webp,exact,AnhDaiDien cover
destination_cover,sapa,,Sapa/AnhDaiDien.jpg,Backend/static/img/destinations/sapa.jpg,destinations,,sapa,/img/destinations/sapa.jpg,exact,AnhDaiDien cover
destination_cover,tay-ninh,,TayNinh/AnhDaiDien.webp,Backend/static/img/destinations/tay-ninh.webp,destinations,,tay-ninh,/img/destinations/tay-ninh.webp,exact,AnhDaiDien cover
destination_cover,tp-ho-chi-minh,,TPHCM/AnhDaiDien.jpg,Backend/static/img/destinations/tp-ho-chi-minh.jpg,destinations,,tp-ho-chi-minh,/img/destinations/tp-ho-chi-minh.jpg,exact,AnhDaiDien cover
destination_cover,tuy-hoa,,TuyHoa/AnhDaiDien.png,Backend/static/img/destinations/tuy-hoa.png,destinations,,tuy-hoa,/img/destinations/tuy-hoa.png,exact,AnhDaiDien cover
destination_cover,vung-tau,,VungTau/AnhDaiDien.webp,Backend/static/img/destinations/vung-tau.webp,destinations,,vung-tau,/img/destinations/vung-tau.webp,exact,AnhDaiDien cover
missing_placeholder,chau-doc,,,,destinations,,chau-doc,,placeholder,no crawled source folder; DB image cleared to empty
missing_placeholder,con-dao,,,,destinations,,con-dao,,placeholder,no crawled source folder; DB image cleared to empty
missing_placeholder,mui-ne,,,,destinations,,mui-ne,,placeholder,no crawled source folder; DB image cleared to empty
missing_placeholder,phong-nha,,,,destinations,,phong-nha,,placeholder,no crawled source folder; DB image cleared to empty
unmatched,buon-ma-thuot,,BuonMaThuat/BaoTangCaPhe.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,buon-ma-thuot,,BuonMaThuat/BaoTangDakLak.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,buon-ma-thuot,,BuonMaThuat/ChoBMT.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,buon-ma-thuot,,BuonMaThuat/CongVienTPBMT.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,buon-ma-thuot,,BuonMaThuat/DiTIchNhaDayBMT.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,buon-ma-thuot,,BuonMaThuat/KDLKoTam.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,buon-ma-thuot,,BuonMaThuat/NhaHangDaiHung.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/BaoTangCanTho.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/BaoTangQuanKhu9.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/BungDaNoi.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/ChoCaiKhe.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/DiTichLongMy.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/NhaHangHoaSu.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/NhaHangLuaNep.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/NhaHangSaoHom.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,can-tho,,CanTho/WoodHouseCafe.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/BaoTangLamDon.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/BaoTangSinhHocDaLat.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/CaoNguyenHoa.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/ChoDemDaLả.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/cinestarDaLat.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/HoaSonDienTrang.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/LangBiangLand.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/NhaThieuNhiDaLat.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/QuangTruongDaLat.jpg,,,,,,manual_needed,no exact slug match in DB
unmatched,da-lat,,Dalat/VuonHoaDaLat.jpg,,,,,,manual_needed,no exact slug match in DB
